timestamp,track,channel,event,note,midi_value
1550,1,0,1,73,57
1811,1,0,0,73,0
1812,1,0,1,73,57
1820,1,0,0,73,64
1850,1,0,1,75,57
2150,1,0,1,73,57
2411,1,0,0,75,0
2412,1,0,1,75,57
2420,1,0,0,73,64
2447,1,0,0,75,64
2450,2,0,1,49,49
2450,1,0,1,77,57
2450,1,0,1,68,57
2695,2,0,0,49,64
2722,2,0,1,56,49
2968,2,0,0,56,64
2993,1,0,0,77,64
2993,1,0,0,68,64
2995,1,0,1,80,57
2995,2,0,1,61,49
3000,1,0,3,64,127
3240,1,0,0,80,64
3240,2,0,0,61,64
3268,1,0,1,72,57
3268,2,0,1,53,49
3513,2,0,0,53,64
3540,2,0,1,61,49
3759,1,0,0,72,64
3813,1,0,1,73,57
4031,2,0,0,61,64
4086,2,0,1,65,49
4304,1,0,0,73,64
4359,1,0,1,68,57
4359,1,0,1,73,57
4577,2,0,0,65,64
4631,2,0,1,54,49
4922,2,0,0,54,64
4954,2,0,1,61,49
5244,2,0,0,61,64
5276,2,0,1,66,49
5567,2,0,0,66,64
5598,2,0,0,68,0
5599,2,0,1,68,49
5793,1,0,0,73,64
5793,1,0,0,68,64
6244,1,0,1,73,57
6525,1,0,0,73,0
6526,1,0,1,73,57
6535,1,0,0,73,64
6567,1,0,1,75,57
6857,1,0,0,75,64
6889,1,0,1,73,57
7172,1,0,1,75,57
7180,1,0,0,73,64
7212,1,0,1,68,57
7212,2,0,1,49,49
7212,1,0,1,77,57
7239,1,0,0,75,64
7457,2,0,0,49,64
7485,2,0,1,56,49
7703,1,0,0,68,64
7703,1,0,0,77,64
7730,2,0,0,56,64
7757,1,0,1,73,57
7757,2,0,1,61,49
7757,1,0,1,80,57
8003,1,0,0,80,64
8003,2,0,0,61,64
8003,1,0,0,73,64
8030,1,0,1,75,57
8030,2,0,1,53,49
8030,1,0,1,84,57
8276,2,0,0,53,64
8303,2,0,1,56,49
8548,1,0,0,75,64
