note,high_power,high_dur,normal_power,normal_dur,low_power,low_dur
0,210,21,109,65,96,1200
1,210,22,115,65,96,1200
2,210,18,115,65,100,1200
3,210,13,116,65,101,1200
4,210,18,109,65,90,1200
5,210,16,109,76,91,1200
6,210,27,110,75,98,1200
7,210,12,112,65,89,1200
8,210,14,114,65,97,1200
9,210,10,109,65,93,1200
10,210,12,112,65,94,1200
11,210,13,112,65,90,1200
12,210,14,114,71,93,1200
13,210,11,112,65,98,1200
14,210,14,117,65,98,1200
15,210,13,116,65,98,1200
16,210,8,115,65,78,1200
17,210,8,109,65,82,1200
18,210,7,111,65,83,1200
19,210,10,113,65,92,1200
20,210,10,113,65,93,1200
21,210,12,115,65,97,1200
22,210,19,122,65,108,1200
23,210,11,112,65,86,1200
24,210,11,116,67,88,1200
25,210,14,115,65,102,1200
26,210,11,116,65,96,1200
27,210,11,113,65,100,1200
28,210,10,116,65,99,1200
29,210,10,111,65,93,1200
30,210,17,107,68,95,1200
31,210,16,114,65,98,1200
32,210,22,105,65,95,1200
33,210,16,109,65,93,1200
34,210,19,108,65,87,1200
35,210,15,112,65,81,1200
36,210,13,108,65,78,1200
37,210,11,108,65,78,1200
38,210,12,106,65,88,1200
39,210,23,106,65,94,1200
40,210,12,112,65,93,1200
41,210,10,110,65,91,1200
42,210,10,108,65,94,1200
43,210,8,107,65,78,1200
44,210,18,107,65,87,1200
45,210,10,112,65,91,1200
46,210,13,107,65,98,1200
47,210,13,106,65,78,1200
48,210,13,108,65,78,1200
49,210,14,108,65,95,1200
50,210,13,106,65,78,1200
51,210,20,107,65,94,1200
52,210,12,110,65,88,1200
53,210,8,108,65,78,1200
54,210,15,107,65,87,1200
55,210,11,110,65,78,1200
56,210,15,109,65,88,1200
57,210,14,109,65,78,1200
58,210,13,109,65,91,1200
59,210,16,110,65,78,1200
60,210,14,109,65,78,1200
61,210,17,111,65,78,1200
62,210,12,109,65,78,1200
63,210,13,110,65,87,1200
64,210,13,110,65,78,1200
65,210,10,109,65,78,1200
66,210,13,109,65,78,1200
67,210,8,105,65,78,1200
68,210,16,114,65,78,1200
69,210,13,112,65,78,1200
70,210,13,109,65,78,1200
71,210,13,114,65,78,1200
72,210,23,112,65,78,1200
73,210,18,113,65,78,1200
74,210,20,118,65,78,1200
75,210,21,113,65,78,1200
76,210,21,118,65,78,1200
77,210,21,117,65,78,1200
78,210,24,121,65,78,1200
79,210,17,123,65,78,1200
80,210,21,123,65,78,1200
81,210,18,121,65,78,1200
82,210,19,114,65,78,1200
83,210,17,130,65,78,1200
84,210,10,130,65,78,1200
85,210,10,130,65,78,1200
86,210,10,130,65,78,1200
87,210,10,130,65,78,1200
88,210,10,130,65,78,1200
89,210,10,130,65,78,1200
90,210,10,130,65,78,1200
91,210,10,130,65,78,1200
92,210,10,130,65,78,1200
93,210,10,130,65,78,1200
94,210,10,130,65,78,1200
95,210,10,130,65,78,1200
96,210,10,130,65,78,1200
97,210,10,130,65,78,1200
98,210,10,130,65,78,1200
99,210,10,130,65,78,1200
