      timestamp  track  channel  event  note  midi_value
0          1550      1        0      1    73          57
1          1811      1        0      0    73           0
2          1812      1        0      1    73          57
3          1820      1        0      0    73           0
4          1850      1        0      1    75          57
5          2100      1        0      1    75          70
6          2150      1        0      1    73          57
7          2400      1        0      0    75           0
8          2411      1        0      0    75           0
9          2412      1        0      1    75          57
10         2420      1        0      0    73           0
11         2447      1        0      0    75           0
12         2450      2        0      1    49          49
13         2450      1        0      1    77          57
14         2450      1        0      1    68          57
15         2695      2        0      0    49           0
16         2722      2        0      1    56          49
17         2968      2        0      0    56           0
18         2993      1        0      0    77           0
19         2993      1        0      0    68           0
20         2995      1        0      1    80          57
21         2995      2        0      1    61          49
22         3000      1        0      3    64         127
23         3240      1        0      0    80           0
24         3240      2        0      0    61           0
25         3268      1        0      1    72          57
26         3268      2        0      1    53          49
27         3513      2        0      0    53           0
28         3540      2        0      1    61          49
29         3759      1        0      0    72           0
30         3813      1        0      1    73          57
31         4031      2        0      0    61           0
32         4086      2        0      1    65          49
33         4304      1        0      0    73           0
34         4359      1        0      1    68          57
35         4359      1        0      1    73          57
36         4577      2        0      0    65           0
37         4631      2        0      1    54          49
38         4922      2        0      0    54           0
39         4954      2        0      1    61          49
40         5244      2        0      0    61           0
41         5276      2        0      1    66          49
42         5567      2        0      0    66           0
43         5598      2        0      0    68           0
44         5599      2        0      1    68          49
45         5793      1        0      0    73           0
46         5793      1        0      0    68           0
47         6244      1        0      1    73          57
48         6525      1        0      0    73           0
49         6526      1        0      1    73          57
50         6535      1        0      0    73           0
51         6567      1        0      1    75          57
52         6857      1        0      0    75           0
53         6889      1        0      1    73          57
54         7172      1        0      1    75          57
55         7180      1        0      0    73           0
56         7212      1        0      1    68          57
57         7212      2        0      1    49          49
58         7212      1        0      1    77          57
59         7239      1        0      0    75           0
60         7457      2        0      0    49           0
61         7485      2        0      1    56          49
62         7703      1        0      0    68           0
63         7703      1        0      0    77           0
64         7730      2        0      0    56           0
65         7757      1        0      1    73          57
66         7757      2        0      1    61          49
67         7757      1        0      1    80          57
68         8003      1        0      0    80           0
69         8003      2        0      0    61           0
70         8003      1        0      0    73           0
71         8030      1        0      1    75          57
72         8030      2        0      1    53          49
73         8030      1        0      1    84          57
74         8276      2        0      0    53           0
75         8303      2        0      1    56          49
76         8548      1        0      0    75           0
77         8548      1        0      0    84           0
78         8576      1        0      1    77          57
79         8576      1        0      1    85          57
80         8736      2        0      0    56           0
81         8821      1        0      0    85           0
82         8821      1        0      0    77           0
83         8848      1        0      1    73          57
84         8848      1        0      1    73          12
85         8848      2        0      1    61          49
86         8848      1        0      1    80          57
87         9052      1        0      0    80           0
88         9053      1        0      1    80          80
89         9094      1        0      0    80           0
90         9094      1        0      0    73           0
91         9100      1        0      0    73           0
92         9121      1        0      1    82          57
93         9121      1        0      1    73          57
94         9281      2        0      0    61           0
95         9394      2        0      1    54          49
96         9664      2        0      0    54           0
97         9664      1        0      0    73           0
98         9664      1        0      0    82           0
99         9694      2        0      1    61          49
100        9694      1        0      1    80          57
101        9964      2        0      0    61           0
102        9994      2        0      1    68          49
103       10000      1        0      3    64           0
104       10234      1        0      0    80           0
105       10294      1        0      1    73          57
106       10864      1        0      0    73           0
107       10894      1        0      1    73          57
108       11155      1        0      0    73           0
109       11156      1        0      1    73          57
110       11164      1        0      0    73           0
111       11194      1        0      1    75          57
112       11464      1        0      0    75           0
113       11494      1        0      1    73          57
114       11756      1        0      1    75          57
115       11764      1        0      0    73           0
116       11791      1        0      0    75           0
117       11793      1        0      0    68           0
