          id  timestamp  track  channel  event  note  midi_value
0          0          0      0        3    121     0           0
1          0          0      0        3      7    98           1
2          0          0      0        3     10    64           2
3          0          0      0        3     91    66           3
4          0          0      0        3     93    66           4
5          0          1      0        1     52    68           5
6          2          1      0        3     64   127           6
7        473          1      0        0     52     0           7
8        499          1      0        1     59    68           8
9        499          1      0        1     64    68           9
10       973          1      0        0     59     0          10
11       973          1      0        0     64     0          11
12       999          1      0        1     64    68          12
13       999          1      0        1     68    68          13
14      1473          1      0        0     64     0          14
15      1473          1      0        0     68     0          15
16      1499          1      0        1     52    68          16
17      1501          1      0        3     64     0          17
18      1502          1      0        3     64   127          18
19      1973          1      0        0     52     0          19
20      1999          1      0        1     59    68          20
21      1999          1      0        1     64    68          21
22      2473          1      0        0     59     0          22
23      2473          1      0        0     64     0          23
24      2499          1      0        1     64    68          24
25      2499          1      0        1     68    68          25
26      2973          1      0        0     64     0          26
27      2973          1      0        0     68     0          27
28      2999          1      0        1     52    68          28
29      3001          1      0        3     64     0          29
30      3002          1      0        3     64   127          30
31      3473          1      0        0     52     0          31
32      3499          1      0        1     59    68          32
33      3499          1      0        1     64    68          33
34      3973          1      0        0     59     0          34
35      3973          1      0        0     64     0          35
36      3999          1      0        1     64    68          36
37      3999          1      0        1     68    68          37
38      4473          1      0        0     64     0          38
39      4473          1      0        0     68     0          39
40      4499          1      0        1     52    68          40
41      4501          1      0        3     64     0          41
42      4502          1      0        3     64   127          42
43      4973          1      0        0     52     0          43
44      4999          1      0        1     59    68          44
45      4999          1      0        1     64    68          45
46      5473          1      0        0     59     0          46
47      5473          1      0        0     64     0          47
48      5499          0      0        1     76    80          48
49      5499          1      0        1     64    68          49
50      5499          1      0        1     68    68          50
51      5736          0      0        0     76     0          51
52      5749          0      0        1     78    80          52
53      5973          1      0        0     64     0          53
54      5973          1      0        0     68     0          54
55      5986          0      0        0     78     0          55
56      5999          0      0        1     80    80          56
57      5999          1      0        1     52    68          57
58      6001          1      0        3     64     0          58
59      6002          1      0        3     64   127          59
60      6236          0      0        0     80     0          60
61      6249          0      0        1     76    80          61
62      6473          1      0        0     52     0          62
63      6486          0      0        0     76     0          63
64      6499          0      0        1     83    80          64
65      6499          1      0        1     59    68          65
66      6499          1      0        1     64    68          66
67      6973          1      0        0     59     0          67
68      6973          1      0        0     64     0          68
69      6999          1      0        1     64    68          69
70      6999          1      0        1     68    68          70
71      7211          0      0        0     83     0          71
72      7249          0      0        1     80    80          72
73      7473          1      0        0     64     0          73
74      7473          1      0        0     68     0          74
75      7486          0      0        0     80     0          75
76      7499          0      0        1     78    80          76
77      7499          1      0        1     51    68          77
78      7501          1      0        3     64     0          78
79      7502          1      0        3     64   127          79
