      timestamp  track  channel  event  note  midi_percentage    id  sustain
0             0      0        0      3   121                0     0        0
1             0      0        0      3     7               98     1        0
2             0      0        0      3    10               64     2        0
3             0      0        0      3    91               66     3        0
4             0      0        0      3    93               66     4        0
5             0      1        0      1    52               40     5        0
6             2      1        0      3    64              127     6        0
7           473      1        0      0    52                0     7        1
8           499      1        0      1    59               40     8        1
9           499      1        0      1    64               40     9        1
10          973      1        0      0    59                0    10        1
11          973      1        0      0    64                0    11        1
12          999      1        0      1    64               40    12        1
13          999      1        0      1    68               40    13        1
14         1473      1        0      0    64                0    14        1
15         1473      1        0      0    68                0    15        1
16         1499      1        0      1    52               40    16        1
17         1501      1        0      3    64                0    17        0
18         1502      1        0      3    64              127    18        0
19         1973      1        0      0    52                0    19        1
20         1999      1        0      1    59               40    20        1
21         1999      1        0      1    64               40    21        1
22         2473      1        0      0    59                0    22        1
23         2473      1        0      0    64                0    23        1
24         2499      1        0      1    64               40    24        1
25         2499      1        0      1    68               40    25        1
26         2973      1        0      0    64                0    26        1
27         2973      1        0      0    68                0    27        1
28         2999      1        0      1    52               40    28        1
29         3001      1        0      3    64                0    29        0
30         3002      1        0      3    64              127    30        0
31         3473      1        0      0    52                0    31        1
32         3499      1        0      1    59               40    32        1
33         3499      1        0      1    64               40    33        1
34         3973      1        0      0    59                0    34        1
35         3973      1        0      0    64                0    35        1
36         3999      1        0      1    64               40    36        1
37         3999      1        0      1    68               40    37        1
38         4473      1        0      0    64                0    38        1
39         4473      1        0      0    68                0    39        1
40         4499      1        0      1    52               40    40        1
41         4501      1        0      3    64                0    41        0
42         4502      1        0      3    64              127    42        0
43         4973      1        0      0    52                0    43        1
44         4999      1        0      1    59               40    44        1
45         4999      1        0      1    64               40    45        1
46         5473      1        0      0    59                0    46        1
47         5473      1        0      0    64                0    47        1
48         5499      0        0      1    76               68    48        1
49         5499      1        0      1    64               40    49        1
50         5499      1        0      1    68               40    50        1
51         5736      0        0      0    76                0    51        1
52         5749      0        0      1    78               68    52        1
53         5973      1        0      0    64                0    53        1
54         5973      1        0      0    68                0    54        1
55         5986      0        0      0    78                0    55        1
56         5999      0        0      1    80               68    56        1
57         5999      1        0      1    52               40    57        1
58         6001      1        0      3    64                0    58        0
59         6002      1        0      3    64              127    59        0
60         6236      0        0      0    80                0    60        1
61         6249      0        0      1    76               68    61        1
62         6473      1        0      0    52                0    62        1
63         6486      0        0      0    76                0    63        1
64         6499      0        0      1    83               68    64        1
65         6499      1        0      1    59               40    65        1
66         6499      1        0      1    64               40    66        1
67         6973      1        0      0    59                0    67        1
68         6973      1        0      0    64                0    68        1
69         6999      1        0      1    64               40    69        1
70         6999      1        0      1    68               40    70        1
71         7211      0        0      0    83                0    71        1
72         7249      0        0      1    80               68    72        1
73         7473      1        0      0    64                0    73        1
74         7473      1        0      0    68                0    74        1
75         7486      0        0      0    80                0    75        1
76         7499      0        0      1    78               68    76        1
77         7499      1        0      1    51               40    77        1
78         7501      1        0      3    64                0    78        0
79         7502      1        0      3    64              127    79        0
80         7973      0        0      0    78                0    80        1
81         7973      1        0      0    51                0    81        1
82         7999      0        0      1    83               68    82        1
83         7999      1        0      1    59               40    83        1
84         7999      1        0      1    63               40    84        1
85         7999      1        0      1    66               40    85        1
86         8473      0        0      0    83                0    86        1
87         8473      1        0      0    59                0    87        1
88         8473      1        0      0    63                0    88        1
89         8473      1        0      0    66                0    89        1
90         8499      0        0      1    78               68    90        1
91         8499      1        0      1    66               40    91        1
92         8499      1        0      1    71               40    92        1
93         8973      0        0      0    78                0    93        1
94         8973      1        0      0    66                0    94        1
95         8973      1        0      0    71                0    95        1
96         8999      0        0      1    76               68    96        1
97         8999      1        0      1    49               40    97        1
98         9001      1        0      3    64                0    98        0
99         9002      1        0      3    64              127    99        0
100        9236      0        0      0    76                0   100        1
101        9249      0        0      1    73               68   101        1
102        9473      1        0      0    49                0   102        1
103        9486      0        0      0    73                0   103        1
104        9499      0        0      1    80               68   104        1
105        9499      1        0      1    56               40   105        1
106        9499      1        0      1    61               40   106        1
107        9499      1        0      1    64               40   107        1
108        9973      1        0      0    56                0   108        1
109        9973      1        0      0    61                0   109        1
110        9973      1        0      0    64                0   110        1
111        9999      1        0      1    64               40   111        1
112        9999      1        0      1    68               40   112        1
113       10211      0        0      0    80                0   113        1
114       10249      0        0      1    76               68   114        1
115       10473      1        0      0    64                0   115        1
116       10473      1        0      0    68                0   116        1
117       10486      0        0      0    76                0   117        1
118       10499      0        0      1    75               68   118        1
119       10499      1        0      1    56               40   119        1
120       10501      1        0      3    64                0   120        0
121       10502      1        0      3    64              127   121        0
122       10973      1        0      0    56                0   122        1
123       10999      1        0      1    63               40   123        1
124       10999      1        0      1    68               40   124        1
125       11448      0        0      0    75                0   125        1
126       11473      1        0      0    63                0   126        1
127       11473      1        0      0    68                0   127        1
128       11499      0        0      1    75               68   128        1
