      timestamp  track  channel  event  note  profile_power  sustain
794       84269      2        0      1    37            131        0
797       84538      2        0      0    37              0        0
857       88632      2        0      1    37            131        0
859       88902      2        0      0    37              0        0
918       92996      2        0      1    37            131        0
921       93265      2        0      0    37              0        0
981       97360      2        0      1    37            131        0
983       97629      2        0      0    37              0        0
1029     101723      2        0      1    37            135        0
1032     101969      2        0      0    37              0        0
1096     106087      2        0      1    37            135        0
1099     106332      2        0      0    37              0        0
1166     110451      2        0      1    37            135        0
1169     110696      2        0      0    37              0        0
1233     114814      2        0      1    37            135        0
1237     115060      2        0      0    37              0        0
1829     182124      2        0      1    37            131        0
1831     182369      2        0      0    37              0        0
1892     186487      2        0      1    37            131        0
1897     186733      2        0      0    37              0        0
1962     190851      2        0      1    37            131        0
1965     191096      2        0      0    37              0        0
2029     195215      2        0      1    37            131        0
2031     195460      2        0      0    37              0        0
1782     175578      2        0      1    39            128        0
1788     175824      2        0      0    39              0        0
870       89451      2        0      1    41            132        0
871       89716      2        0      0    41              0        0
932       93814      2        0      1    41            132        0
933       94080      2        0      0    41              0        0
993       98178      2        0      1    41            132        0
995       98444      2        0      0    41              0        0
1043     102541      2        0      1    41            133        0
1045     102787      2        0      0    41              0        0
1110     106905      2        0      1    41            133        0
1113     107151      2        0      0    41              0        0
1180     111269      2        0      1    41            133        0
1181     111514      2        0      0    41              0        0
1247     115632      2        0      1    41            133        0
1249     115878      2        0      0    41              0        0
1749     171215      2        0      1    41            132        0
1750     171460      2        0      0    41              0        0
1841     182942      2        0      1    41            132        0
1842     183187      2        0      0    41              0        0
1908     187306      2        0      1    41            132        0
1909     187551      2        0      0    41              0        0
1976     191669      2        0      1    41            132        0
1977     191915      2        0      0    41              0        0
2042     196033      2        0      1    41            132        0
2043     196278      2        0      0    41              0        0
818       86178      2        0      1    42            141        0
821       86696      2        0      0    42              0        0
836       87541      2        0      1    42            131        0
839       87787      2        0      0    42              0        0
881       90541      2        0      1    42            141        0
883       91060      2        0      0    42              0        0
900       91905      2        0      1    42            131        0
903       92151      2        0      0    42              0        0
942       94905      2        0      1    42            131        0
945       95423      2        0      0    42              0        0
961       96269      2        0      1    42            131        0
964       96514      2        0      0    42              0        0
1004      99269      2        0      1    42            141        0
1007      99787      2        0      0    42              0        0
1057     103632      2        0      1    42            135        0
1061     104151      2        0      0    42              0        0
1124     107996      2        0      1    42            135        0
1129     108514      2        0      0    42              0        0
1193     112360      2        0      1    42            135        0
1197     112878      2        0      0    42              0        0
1260     116723      2        0      1    42            135        0
1264     117241      2        0      0    42              0        0
1735     169033      2        0      1    42            131        0
1736     169278      2        0      0    42              0        0
1853     184033      2        0      1    42            131        0
1857     184551      2        0      0    42              0        0
1921     188396      2        0      1    42            131        0
1925     188915      2        0      0    42              0        0
1988     192760      2        0      1    42            141        0
1993     193278      2        0      0    42              0        0
2054     197124      2        0      1    42            131        0
2057     197642      2        0      0    42              0        0
1723     166851      2        0      1    43            130        0
1724     167096      2        0      0    43              0        0
375       38995      2        0      1    44            128        0
376       39241      2        0      0    44              0        0
762       79905      2        0      1    44            128        0
766       80151      2        0      0    44              0        0
798       84541      2        0      1    44            130        0
801       84807      2        0      0    44              0        0
806       85087      2        0      1    44            130        0
808       85353      2        0      0    44              0        0
812       85632      2        0      1    44            140        0
814       85904      2        0      0    44              0        0
861       88905      2        0      1    44            130        0
863       89171      2        0      0    44              0        0
922       93269      2        0      1    44            130        0
925       93535      2        0      0    44              0        0
985       97632      2        0      1    44            130        0
987       97898      2        0      0    44              0        0
1035     101996      2        0      1    44            134        0
1037     102241      2        0      0    44              0        0
1103     106360      2        0      1    44            134        0
1104     106605      2        0      0    44              0        0
1171     110723      2        0      1    44            134        0
1173     110969      2        0      0    44              0        0
1238     115087      2        0      1    44            134        0
1240     115332      2        0      0    44              0        0
1711     165760      2        0      1    44            130        0
1713     166006      2        0      0    44              0        0
1751     171487      2        0      1    44            130        0
1752     171733      2        0      0    44              0        0
1803     177760      2        0      1    44            130        0
1815     180924      2        0      0    44              0        0
1832     182396      2        0      1    44            130        0
1835     182642      2        0      0    44              0        0
1899     186760      2        0      1    44            130        0
1901     187006      2        0      0    44              0        0
1967     191124      2        0      1    44            130        0
1968     191369      2        0      0    44              0        0
2032     195487      2        0      1    44            130        0
2035     195733      2        0      0    44              0        0
275       28086      2        0      1    46            128        0
276       28332      2        0      0    46              0        0
665       68996      2        0      1    46            128        0
667       69241      2        0      0    46              0        0
1561     146997      2        0      1    46            128        0
1563     147242      2        0      0    46              0        0
1646     157906      2        0      1    46            130        0
1647     158151      2        0      0    46              0        0
1699     164669      2        0      1    46            130        0
1701     164915      2        0      0    46              0        0
1763     173396      2        0      1    46            130        0
1765     173642      2        0      0    46              0        0
1780     175033      2        0      1    46            130        0
1781     175524      2        0      0    46              0        0
1789     175851      2        0      1    46            130        0
1793     176096      2        0      0    46              0        0
263       26995      2        0      1    48            128        0
264       27241      2        0      0    48              0        0
653       67905      2        0      1    48            128        0
655       68151      2        0      0    48              0        0
872       89723      2        0      1    48            130        0
875       89989      2        0      0    48              0        0
996       98451      2        0      1    48            140        0
999       98722      2        0      0    48              0        0
1549     145906      2        0      1    48            128        0
1551     146151      2        0      0    48              0        0
1661     160087      2        0      1    48            130        0
1662     160357      2        0      0    48              0        0
1688     163578      2        0      1    48            130        0
1691     163824      2        0      0    48              0        0
10         2450      2        0      1    49            128        0
13         2695      2        0      0    49              0        0
55         7212      2        0      1    49            126        1
58         7457      2        0      0    49              0        1
115       11794      2        0      1    49            128        0
118       12039      2        0      0    49              0        0
159       16376      2        0      1    49            128        0
161       16621      2        0      0    49              0        0
250       25905      2        0      1    49            128        0
252       26150      2        0      0    49              0        0
403       43359      2        0      1    49            128        0
405       43605      2        0      0    49              0        0
447       48122      2        0      1    49            128        0
449       48367      2        0      0    49              0        0
506       52703      2        0      1    49            128        0
508       52949      2        0      0    49              0        0
548       57285      2        0      1    49            128        0
551       57531      2        0      0    49              0        0
641       66814      2        0      1    49            128        0
643       67060      2        0      0    49              0        0
815       85905      2        0      1    49            140        0
817       86177      2        0      0    49              0        0
822       86723      2        0      1    49            130        0
827       86969      2        0      0    49              0        0
833       87269      2        0      1    49            130        0
835       87514      2        0      0    49              0        0
842       87814      2        0      1    49            130        0
847       88060      2        0      0    49              0        0
851       88360      2        0      1    49            130        0
854       88605      2        0      0    49              0        0
865       89178      2        0      1    49            130        0
867       89447      2        0      0    49              0        0
885       91087      2        0      1    49            130        0
888       91332      2        0      0    49              0        0
894       91632      2        0      1    49            130        0
896       91878      2        0      0    49              0        0
906       92178      2        0      1    49            130        0
909       92423      2        0      0    49              0        0
912       92723      2        0      1    49            130        0
916       92969      2        0      0    49              0        0
926       93541      2        0      1    49            130        0
929       93811      2        0      0    49              0        0
934       94087      2        0      1    49            130        0
937       94353      2        0      0    49              0        0
947       95451      2        0      1    49            130        0
951       95696      2        0      0    49              0        0
957       95996      2        0      1    49            130        0
959       96241      2        0      0    49              0        0
967       96541      2        0      1    49            130        0
970       96787      2        0      0    49              0        0
975       97087      2        0      1    49            130        0
978       97332      2        0      0    49              0        0
989       97905      2        0      1    49            130        0
991       98174      2        0      0    49              0        0
1005      99269      2        0      1    49            140        0
1008      99787      2        0      0    49              0        0
1009      99814      2        0      1    49            130        0
1010     100060      2        0      0    49              0        0
1013     100360      2        0      1    49            130        0
1015     100605      2        0      0    49              0        0
1018     100905      2        0      1    49            131        0
1019     101151      2        0      0    49              0        0
1023     101451      2        0      1    49            140        0
1026     101696      2        0      0    49              0        0
1039     102269      2        0      1    49            134        0
1041     102514      2        0      0    49              0        0
1046     102814      2        0      1    49            134        0
1049     103060      2        0      0    49              0        0
1063     104178      2        0      1    49            134        0
1066     104423      2        0      0    49              0        0
1072     104723      2        0      1    49            134        0
1074     104969      2        0      0    49              0        0
1082     105269      2        0      1    49            134        0
1085     105514      2        0      0    49              0        0
1090     105814      2        0      1    49            134        0
1094     106060      2        0      0    49              0        0
1106     106632      2        0      1    49            134        0
1108     106878      2        0      0    49              0        0
1114     107178      2        0      1    49            134        0
1115     107423      2        0      0    49              0        0
1130     108541      2        0      1    49            134        0
1135     108787      2        0      0    49              0        0
1141     109087      2        0      1    49            134        0
1143     109332      2        0      0    49              0        0
1152     109632      2        0      1    49            134        0
1155     109878      2        0      0    49              0        0
1159     110178      2        0      1    49            134        0
1162     110423      2        0      0    49              0        0
1175     110996      2        0      1    49            134        0
1177     111241      2        0      0    49              0        0
1182     111541      2        0      1    49            134        0
1185     111787      2        0      0    49              0        0
1199     112905      2        0      1    49            133        0
1203     113151      2        0      0    49              0        0
1209     113451      2        0      1    49            133        0
1210     113696      2        0      0    49              0        0
1219     113996      2        0      1    49            131        0
1222     114241      2        0      0    49              0        0
1226     114541      2        0      1    49            131        0
1230     114787      2        0      0    49              0        0
1243     115360      2        0      1    49            134        0
1244     115605      2        0      0    49              0        0
1250     115905      2        0      1    49            134        0
1253     116151      2        0      0    49              0        0
1268     117269      2        0      1    49            125        0
1270     117514      2        0      0    49              0        0
1300     121360      2        0      1    49            128        0
1301     121605      2        0      0    49              0        0
1343     126122      2        0      1    49            128        0
1345     126368      2        0      0    49              0        0
1402     130704      2        0      1    49            128        0
1404     130949      2        0      0    49              0        0
1445     135286      2        0      1    49            128        0
1447     135531      2        0      0    49              0        0
1537     144815      2        0      1    49            128        0
1539     145060      2        0      0    49              0        0
1674     162487      2        0      1    49            130        0
1677     162733      2        0      0    49              0        0
1836     182669      2        0      1    49            130        0
1839     182915      2        0      0    49              0        0
1843     183215      2        0      1    49            130        0
1844     183433      2        0      0    49              0        0
1858     184578      2        0      1    49            130        0
1863     184824      2        0      0    49              0        0
1869     185124      2        0      1    49            130        0
1871     185369      2        0      0    49              0        0
1878     185669      2        0      1    49            130        0
1883     185915      2        0      0    49              0        0
1887     186215      2        0      1    49            130        0
1890     186460      2        0      0    49              0        0
1903     187033      2        0      1    49            130        0
1905     187278      2        0      0    49              0        0
1910     187578      2        0      1    49            130        0
1911     187796      2        0      0    49              0        0
1927     188942      2        0      1    49            130        0
1930     189187      2        0      0    49              0        0
1936     189487      2        0      1    49            130        0
1939     189733      2        0      0    49              0        0
1948     190033      2        0      1    49            130        0
1951     190278      2        0      0    49              0        0
1954     190578      2        0      1    49            130        0
1958     190824      2        0      0    49              0        0
1970     191396      2        0      1    49            130        0
1973     191642      2        0      0    49              0        0
1978     191942      2        0      1    49            130        0
1979     192160      2        0      0    49              0        0
1994     193306      2        0      1    49            130        0
1995     193551      2        0      0    49              0        0
2004     193851      2        0      1    49            130        0
2005     194096      2        0      0    49              0        0
2014     194396      2        0      1    49            130        0
2015     194642      2        0      0    49              0        0
2024     194942      2        0      1    49            130        0
2026     195187      2        0      0    49              0        0
2036     195760      2        0      1    49            130        0
2039     196006      2        0      0    49              0        0
2044     196306      2        0      1    49            130        0
2047     196524      2        0      0    49              0        0
2058     197669      2        0      1    49            130        0
2063     197915      2        0      0    49              0        0
2069     198215      2        0      1    49            130        0
2071     198460      2        0      0    49              0        0
2079     198760      2        0      1    49            130        0
2083     199006      2        0      0    49              0        0
2087     199306      2        0      1    49            130        0
2090     199551      2        0      0    49              0        0
2093     199578      2        0      1    49            130        0
2097     199824      2        0      0    49              0        0
2156     203942      2        0      1    49            130        0
2158     204187      2        0      0    49              0        0
2218     208306      2        0      1    49            130        0
2220     208551      2        0      0    49              0        0
2280     213041      2        0      1    49            130        0
2282     213347      2        0      0    49              0        0
337       34632      2        0      1    51            128        0
339       34877      2        0      0    51              0        0
377       39268      2        0      1    51            128        0
378       39514      2        0      0    51              0        0
724       75541      2        0      1    51            128        0
729       75787      2        0      0    51              0        0
767       80178      2        0      1    51            128        0
768       80423      2        0      0    51              0        0
809       85360      2        0      1    51            140        0
811       85631      2        0      0    51              0        0
1622     153542      2        0      1    51            128        0
1625     153787      2        0      0    51              0        0
1725     167124      2        0      1    51            130        0
1726     167369      2        0      0    51              0        0
1737     169306      2        0      1    51            130        0
1738     169551      2        0      0    51              0        0
24         3268      2        0      1    53            126        1
25         3513      2        0      0    53              0        1
70         8030      2        0      1    53            126        1
72         8276      2        0      0    53              0        1
126       12612      2        0      1    53            128        0
128       12857      2        0      0    53              0        0
172       17194      2        0      1    53            128        0
175       17439      2        0      0    53              0        0
278       28359      2        0      1    53            128        0
291       30159      2        0      0    53              0        0
315       32450      2        0      1    53            128        0
317       32695      2        0      0    53              0        0
414       44177      2        0      1    53            128        0
416       44423      2        0      0    53              0        0
462       48940      2        0      1    53            128        0
463       49185      2        0      0    53              0        0
517       53522      2        0      1    53            128        0
518       53767      2        0      0    53              0        0
563       58103      2        0      1    53            128        0
565       58349      2        0      0    53              0        0
669       69269      2        0      1    53            128        0
681       71069      2        0      0    53              0        0
706       73360      2        0      1    53            128        0
708       73605      2        0      0    53              0        0
802       84814      2        0      1    53            130        0
805       85084      2        0      0    53              0        0
877       89996      2        0      1    53            140        0
878       90432      2        0      0    53              0        0
939       94360      2        0      1    53            140        0
940       94796      2        0      0    53              0        0
1001      98723      2        0      1    53            140        0
1002      99160      2        0      0    53              0        0
1051     103087      2        0      1    53            134        0
1052     103523      2        0      0    53              0        0
1119     107451      2        0      1    53            134        0
1120     107887      2        0      0    53              0        0
1187     111814      2        0      1    53            134        0
1188     112251      2        0      0    53              0        0
1255     116178      2        0      1    53            134        0
1257     116614      2        0      0    53              0        0
1310     122178      2        0      1    53            128        0
1312     122423      2        0      0    53              0        0
1358     126940      2        0      1    53            128        0
1359     127186      2        0      0    53              0        0
1413     131522      2        0      1    53            128        0
1414     131768      2        0      0    53              0        0
1459     136104      2        0      1    53            128        0
1461     136349      2        0      0    53              0        0
1565     147269      2        0      1    53            128        0
1577     149069      2        0      0    53              0        0
1602     151360      2        0      1    53            128        0
1605     151606      2        0      0    53              0        0
1648     158178      2        0      1    53            130        0
1649     158424      2        0      0    53              0        0
1703     164942      2        0      1    53            130        0
1705     165187      2        0      0    53              0        0
1715     166033      2        0      1    53            130        0
1716     166251      2        0      0    53              0        0
1727     167396      2        0      1    53            130        0
1728     167642      2        0      0    53              0        0
1739     169578      2        0      1    53            130        0
1740     169824      2        0      0    53              0        0
1753     171760      2        0      1    53            130        0
1754     172006      2        0      0    53              0        0
1766     173669      2        0      1    53            130        0
1769     173915      2        0      0    53              0        0
1846     183487      2        0      1    53            140        0
1848     183924      2        0      0    53              0        0
1915     187851      2        0      1    53            140        0
1916     188287      2        0      0    53              0        0
1983     192215      2        0      1    53            130        0
1984     192651      2        0      0    53              0        0
2048     196578      2        0      1    53            140        0
2051     197015      2        0      0    53              0        0
2107     200396      2        0      1    53            130        0
2109     200642      2        0      0    53              0        0
2169     204760      2        0      1    53            130        0
2171     205006      2        0      0    53              0        0
2232     209124      2        0      1    53            130        0
2233     209369      2        0      0    53              0        0
2293     214063      2        0      1    53            130        0
2295     214370      2        0      0    53              0        0
35         4631      2        0      1    54            126        1
36         4922      2        0      0    54              0        1
91         9394      2        0      1    54            126        1
92         9664      2        0      0    54              0        1
138       13976      2        0      1    54            128        0
139       14246      2        0      0    54              0        0
194       18667      2        0      1    54            128        0
197       18967      2        0      0    54              0        0
231       23619      2        0      1    54            128        0
235       23876      2        0      0    54              0        0
294       30268      2        0      1    54            128        0
297       30514      2        0      0    54              0        0
379       39541      2        0      1    54            128        0
380       39786      2        0      0    54              0        0
426       45541      2        0      1    54            128        0
427       45831      2        0      0    54              0        0
482       50303      2        0      1    54            128        0
484       50573      2        0      0    54              0        0
528       54885      2        0      1    54            128        0
529       55155      2        0      0    54              0        0
584       59576      2        0      1    54            128        0
585       59876      2        0      0    54              0        0
622       64528      2        0      1    54            128        0
625       64786      2        0      0    54              0        0
685       71178      2        0      1    54            128        0
687       71423      2        0      0    54              0        0
769       80451      2        0      1    54            128        0
770       80696      2        0      0    54              0        0
848       88087      2        0      1    54            130        0
849       88332      2        0      0    54              0        0
910       92451      2        0      1    54            130        0
911       92696      2        0      0    54              0        0
972       96814      2        0      1    54            130        0
973       97060      2        0      0    54              0        0
1076     104996      2        0      1    54            134        0
1079     105241      2        0      0    54              0        0
1146     109360      2        0      1    54            134        0
1149     109605      2        0      0    54              0        0
1213     113723      2        0      1    54            133        0
1216     113969      2        0      0    54              0        0
1322     123541      2        0      1    54            128        0
1323     123832      2        0      0    54              0        0
1378     128304      2        0      1    54            128        0
1380     128574      2        0      0    54              0        0
1424     132886      2        0      1    54            128        0
1425     133156      2        0      0    54              0        0
1480     137577      2        0      1    54            128        0
1483     137877      2        0      0    54              0        0
1518     142529      2        0      1    54            128        0
1519     142786      2        0      0    54              0        0
1581     149178      2        0      1    54            128        0
1583     149424      2        0      0    54              0        0
1795     176124      2        0      1    54            130        0
1800     177759      1        0      0    54              0        0
1801     177760      1        0      1    54            130        0
1804     177761      2        0      0    54              0        0
1872     185396      2        0      1    54            130        0
1877     185642      2        0      0    54              0        0
1942     189760      2        0      1    54            130        0
1945     190006      2        0      0    54              0        0
2008     194124      2        0      1    54            130        0
2012     194369      2        0      0    54              0        0
