      timestamp  track  channel  event  note  profile_power    id  sustain
1             0      0        0      3     7             98     1        0
2             0      0        0      3    10             64     2        0
937       68999      1        0      1    35            126   937        1
941       69473      1        0      0    35              0   941        1
2833     199499      1        0      1    35            126  2833        1
2837     199973      1        0      0    35              0  2837        1
3505     242499      1        0      1    35            131  3505        0
3511     242973      1        0      0    35              0  3511        0
823       61499      1        0      1    37            122   823        1
829       61973      1        0      0    37              0   829        1
1412      98999      1        0      1    37            122  1412        1
1418      99473      1        0      0    37              0  1418        1
1793     124499      1        0      1    37            122  1793        1
1801     124973      1        0      0    37              0  1801        1
2000     136499      1        0      1    37            122  2000        1
2007     136973      1        0      0    37              0  2007        1
2216     148499      1        0      1    37            122  2216        1
2222     148973      1        0      0    37              0  2222        1
2719     191999      1        0      1    37            122  2719        1
2725     192473      1        0      0    37              0  2725        1
3306     229499      1        0      1    37            122  3306        1
3312     229973      1        0      0    37              0  3312        1
803       59999      1        0      1    39            120   803        1
808       60473      1        0      0    39              0   808        1
1385      97499      1        0      1    39            120  1385        1
1392      97973      1        0      0    39              0  1392        1
1761     122999      1        0      1    39            120  1761        1
1769     123473      1        0      0    39              0  1769        1
1966     134999      1        0      1    39            120  1966        1
1972     135473      1        0      0    39              0  1972        1
2182     146999      1        0      1    39            120  2182        1
2188     147473      1        0      0    39              0  2188        1
2699     190499      1        0      1    39            120  2699        1
2704     190973      1        0      0    39              0  2704        1
3279     227999      1        0      1    39            120  3279        1
3286     228473      1        0      0    39              0  3286        1
781       58499      1        0      1    40            126   781        1
787       58973      1        0      0    40              0   787        1
957       70499      1        0      1    40            126   957        1
963       70973      1        0      0    40              0   963        1
1349      95999      1        0      1    40            126  1349        1
1355      96473      1        0      0    40              0  1355        1
1542     106499      1        0      1    40            130  1542        1
1546     106973      1        0      0    40              0  1546        1
1558     107999      1        0      1    40            130  1558        1
1561     108473      1        0      0    40              0  1561        1
1730     121499      1        0      1    40            126  1730        1
1737     121973      1        0      0    40              0  1737        1
1938     133499      1        0      1    40            126  1938        1
1944     133973      1        0      0    40              0  1944        1
2154     145499      1        0      1    40            126  2154        1
2160     145973      1        0      0    40              0  2160        1
2677     188999      1        0      1    40            126  2677        1
2683     189473      1        0      0    40              0  2683        1
2853     200999      1        0      1    40            126  2853        1
2859     201473      1        0      0    40              0  2859        1
3243     226499      1        0      1    40            126  3243        1
3249     226973      1        0      0    40              0  3249        1
3517     242999      1        0      1    40            144  3517        0
3519     243498      1        0      0    40              0  3519        1
3717     264824      1        0      1    40            135  3717        1
3742     268894      1        0      0    40              0  3742        1
909       67499      1        0      1    42            122   909        1
915       67973      1        0      0    42              0   915        1
1515     104999      1        0      1    42            122  1515        1
1519     105473      1        0      0    42              0  1519        1
1900     130499      1        0      1    42            122  1900        1
1904     130973      1        0      0    42              0  1904        1
2105     142499      1        0      1    42            122  2105        1
2110     142973      1        0      0    42              0  2110        1
2317     154499      1        0      1    42            122  2317        1
2323     154973      1        0      0    42              0  2323        1
2805     197999      1        0      1    42            122  2805        1
2811     198473      1        0      0    42              0  2811        1
3484     241499      1        0      1    42            122  3484        1
3489     241973      1        0      0    42              0  3489        0
845       62999      1        0      1    44            121   845        1
849       63473      1        0      0    44              0   849        1
887       65999      1        0      1    44            121   887        1
892       66473      1        0      0    44              0   892        1
1038      74999      1        0      1    44            121  1038        1
1044      75473      1        0      0    44              0  1044        1
1442     100499      1        0      1    44            121  1442        1
1449     100973      1        0      0    44              0  1449        1
1493     103499      1        0      1    44            121  1493        1
1498     103973      1        0      0    44              0  1498        1
1825     125999      1        0      1    44            121  1825        1
1833     126473      1        0      0    44              0  1833        1
1878     128999      1        0      1    44            121  1878        1
1882     129473      1        0      0    44              0  1882        1
2027     137999      1        0      1    44            121  2027        1
2033     138473      1        0      0    44              0  2033        1
2079     140999      1        0      1    44            121  2079        1
2085     141473      1        0      0    44              0  2085        1
2241     149999      1        0      1    44            121  2241        1
2247     150473      1        0      0    44              0  2247        1
2291     152999      1        0      1    44            121  2291        1
2297     153473      1        0      0    44              0  2297        1
2741     193499      1        0      1    44            121  2741        1
2745     193973      1        0      0    44              0  2745        1
2783     196499      1        0      1    44            121  2783        1
2788     196973      1        0      0    44              0  2788        1
2934     205499      1        0      1    44            121  2934        1
2938     205973      1        0      0    44              0  2938        1
3336     230999      1        0      1    44            121  3336        1
3343     231473      1        0      0    44              0  3343        1
3456     239999      1        0      1    44            121  3456        1
3462     240473      1        0      0    44              0  3462        1
865       64499      1        0      1    45            126   865        1
870       64973      1        0      0    45              0   870        1
1469     101999      1        0      1    45            126  1469        1
1474     102473      1        0      0    45              0  1474        1
1857     127499      1        0      1    45            126  1857        1
1861     127973      1        0      0    45              0  1861        1
2053     139499      1        0      1    45            126  2053        1
2059     139973      1        0      0    45              0  2059        1
2267     151499      1        0      1    45            126  2267        1
2272     151973      1        0      0    45              0  2272        1
2761     194999      1        0      1    45            126  2761        1
2766     195473      1        0      0    45              0  2766        1
3428     238499      1        0      1    45            126  3428        1
3434     238973      1        0      0    45              0  3434        1
3701     260538      1        0      1    45            135  3701        1
3703     262573      1        0      0    45              0  3703        1
341       27999      1        0      1    47            120   341        1
344       28473      1        0      0    47              0   344        1
938       68999      1        0      1    47            120   938        1
942       69473      1        0      0    47              0   942        1
984       71999      1        0      1    47            120   984        1
